,alpha_1.log,h.log,alpha_f_-10000.log,alpha_0.1.log,h_fs.log,alpha_0.log,alpha_ms_-10000.log,alpha_f_1.log,h_ms.log,alpha_10000.log,alpha_ms_10000.log,alpha_f_-1.log,alpha_ms_1.log,alpha_ms_0.1.log,alpha_-10000.log,alpha_-1.log,alpha_ms_-1.log,alpha_ms_0.log,alpha_f_10000.log,alpha_f_0.1.log,alpha_f_0.log
umts-flaw-temporal-time-windows ,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satellite-complex-time-windows ,1,6,1,2,6,2,1,1,1,0,1,2,1,2,2,1,2,2,0,2,2
umts-temporal-time-windows ,28,45,24,28,48,28,25,28,0,38,38,28,28,27,25,28,28,27,36,28,28
rcll-3-robots ,4,0,0,3,2,0,1,3,0,5,6,1,3,1,0,0,0,0,5,3,0
pipesworld-no-tankage-temporal-deadlines ,0,3,1,1,3,1,1,0,1,0,1,3,0,1,1,2,1,2,1,1,2
airport-time-windows ,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
satellite-time-time-windows ,3,5,2,2,5,3,2,3,2,2,2,3,2,3,2,3,3,3,2,3,3
trucks-time-constraints-timed-initial-literals ,6,6,5,5,6,5,5,5,3,6,6,5,6,5,5,5,5,5,5,6,5
rcll-2-robots ,1,3,1,3,3,0,1,3,0,16,19,3,0,0,1,2,2,1,20,1,1
rcll-1-robots ,73,57,29,72,44,72,32,70,0,59,64,73,70,73,27,72,73,72,60,72,71
